titre,description,ville,type_bien,etage,prix,surface,pieces,DPE,full_description,lien
Vente Appartement 60 m² Rillieux-La-Pape,Superbe  appartement T3 de 61m² au 2em étage avec balcon de 14m² et un parking,Rillieux-La-Pape,Appartement,1,297500,60.0,3,B,"Lumineux T3 de 61m² avec balcon de 6m² au 2em et dernier étage

Découvrez ce bel appartement 3 pièces de 60.74m², situé au 2ᵉ étage d'une résidence récente.

Parfaitement agencé et baigné de lumière, il offre un cadre de vie confortable, idéal pour un premier achat, un couple ou un investissement locatif.

Dès l'entrée spacieuse (7.26m²), vous accédez à une agréable pièce de vie de 24.81m² avec séjour et cuisine ouverte, pensée pour la convivialité.

Elle s'ouvre sur un balcon de 13.77m², parfait pour profiter des beaux jours, installer une table ou créer un espace détente.

L'espace nuit se compose de deux chambres (12.29m² et 9,07 m²), d'une salle de bains, ainsi que d'un WC indépendant, garantissant un confort optimal au quotidien.

Les points forts :

•	Étage élevé, plus de calme et de luminosité
•	Balcon exploitable
•	Plan fonctionnel sans perte d'espace
•	Entrée confortable avec possibilité de rangement
•	Idéal résidence principale ou investissement

Un bien recherché alliant confort, extérieur et praticité.

À visiter rapidement !",https://www.etreproprio.com/immobilier-25280720-vente-superbe-appartement-t3-de-61m-au-2em-etage-avec-balcon-de-14m-et-un-parking-rillieux-la-pape
Vente Appartement 83 m² Lyon-2e,Triplex 4 pieces  83 m2  presqu’ile lyon 69002,Lyon-2e,Appartement,2,329900,83.0,4,D,"Placé en plein cœur du deuxième arrondissement de Lyon, à deux pas de la place Bellecour, au rdc d’un immeuble de 1875,  découvrez ce triplex 4 pièces atypique de 83 m2 situé donnant sur une cour intérieure. Cet appartement atypique organisé sur trois niveaux séduit par sa configuration originale, ses volumes généreux et sa circulation fluide entre les espaces. Au rdc : l’entrée s’ouvre sur un espace de vie convivial comprenant une salle à manger lumineuse, en lien direct avec une cuisine fonctionnelle. Un WC indépendant complète ce niveau. Une chambre confortable, légèrement en retrait, offre un espace nuit au calme, idéal pour une chambre parentale ou d’amis. Un escalier intérieur mène au niveau intermédiaire : composé d’un bureau (ou chambre d’appoint) et d’une salle d’eau, parfait pour un espace de travail ou un coin nuit indépendant. Ce niveau bénéficie également d’une mezzanine ouverte sur le séjour, apportant une belle sensation de volume et de luminosité. Au dernier niveau : vous découvrirez une seconde grande chambre, spacieuse et lumineuse, offrant de multiples possibilités d’aménagement (suite parentale, chambre familiale, espace polyvalent).  Cet appartement se distingue par son agencement sur plusieurs niveaux, son esprit loft avec mezzanine,  et son potentiel d’aménagement, idéal pour une famille, un couple ou un projet de résidence principale avec espace télétravail.",https://www.etreproprio.com/immobilier-25277451-vente-triplex-4-pieces-83-m2-presqu-ile-lyon-69002-lyon-2e
Vente Maison 150 m² Villeurbanne,Maison 150 m² à Villeurbanne,Villeurbanne,Maison,1,799000,150.0,6,B,"Coup de Coeur à Villeurbanne proche Gratte-Ciel !

Maison 6 pièces de 150 m2 au sol  avec piscine sur une parcelle de 450 m2.
Dans une rue calme , cette maison saura vous séduire par sa rénovation, ses matériaux de qualité, sa piscine et ses prestations .

A proximité des commerces, des écoles et des transports (métro , tramway T6) cette maison individuelle est composée:
Au RDC:
-D'une entrée avec placard de rangements
-D'une pièce de vie avec cuisine ouverte. La cuisine a été faite sur mesure avec de belles prestations.
-Une pièce qui peut faire office de bureau, de chambre ou encore de salle de jeux .
-Un WC avec lave-mains

Le RDC de la maison est orienté EST/OUEST.
La piscine de 9.60 x4 m est orientée EST.
Le sol est un beau carrelage effet pierre.

Au 1er étage: 4 chambres
-3 chambres avec rangements
-Une suite parentale avec dressing, salle d'eau et WC avec balcon
-Une salle de bain avec WC

La maison a un sous-sol où se trouve la buanderie, la pompe à chaleur et le ballon d'eau chaude thermodynamique.

Le chauffage de la maison:
-Chauffage au sol
-Climatisation réversible dans chaque pièce

1 place de stationnement
Très bon DPE : B/A

Un renseignement , une visite ?
N'hésitez pas votre acolyte Pietrapolis saura vous répondre .



Contact: Nathalie Bismuth
Tél : 06/23/62/75/42
[Coordonnées masquées]
Agente commerciale RSAC : N°  881 166 938 00012



Honoraires à la charge du vendeur.  Classe énergie B, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2025 : entre 1100.00 et 1400.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Votre conseiller Pietrapolis Caluire-et-Cuire : Nathalie BISMUTH
Agent commercial (Entreprise individuelle)  
  RSAC 881166938  
  RCP GALIAN",https://www.etreproprio.com/immobilier-25278438-vente-maison-150-m-a-villeurbanne-villeurbanne
Vente Maison 82 m² Communay,Maison 82 m² à Communay,Communay,Maison,0,225000,82.0,3,D,"69360 COMMUNAY - CENTRE VILLAGE - MAISON 3 PIÈCES - 2 CHAMBRES - JARDIN

EffiCity, l'agence qui estime votre bien en ligne et Jean-Paul COSTA vous proposent cette maison située en plein cœur de Communay.

Cette maison de village d'une surface de 82 m² sur deux niveaux, situé dans une petite copropriété au calme. Elle se compose au rez de chaussée, d'une pièce de vie avec un coin cuisine  et d'un WC avec lave mains.

A l'étage, un dégagement vient desservir les deux chambres qui sont communicante par une salle d'eau avec un WC à aménagée.

La maison est vendue avec des travaux a finir, revêtement de sols, cuisine et salle d'eau.

L'espace extérieur d'environ 80m² vous permes de créé une terrasse et d'accueillir votre véhicule ainsi qu'un espace vert.

Vous bénéficierez d'une cave en  sous-sol de 41 m²  pour plus de rangements.

Ne manquez pas cette opportunité d'acquérir une maison en plein centre de Communay. Contactez-nous dès maintenant pour organiser une visite et laissez-vous séduire par ce bien aux multiples atouts !
 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
 Jean Paul Costa - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Lyon sous le n°450904602.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 75[Coordonnées masquées]02 025 - CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris",https://www.etreproprio.com/immobilier-24977665-vente-maison-82-m-a-communay-communay
Vente Appartement 81 m² Rillieux-La-Pape,T4 de 81m² avec balcon de 9m² au dernier étage (R+2),Rillieux-La-Pape,Appartement,,334500,81.0,4,B,"T4 de 81m²  avec balcon de 9m² au dernier étage (R+2)
Découvrez ce magnifique appartement 4 pièces de 81,05 m², situé au 2ᵉ étage d'une résidence récente. Offrant de beaux volumes et un agencement parfaitement optimisé, ce bien réunit tous les critères pour une vie confortable.
Dès l'entrée (7,14 m²), vous accédez à une spacieuse pièce de vie de 29,77 m² avec séjour et cuisine ouverte, idéale pour partager des moments conviviaux. Lumineuse, elle se prolonge sur un agréable balcon de 9,18 m², parfait pour vos repas en extérieur ou vos instants de détente.
L'espace nuit, bien séparé, comprend trois chambres confortables (11,48 m², 11,49 m² et 9,18 m²), une salle de bains, un WC indépendant et un dégagement facilitant la circulation.
Les atouts qui font la différence :
•	Étage élevé, plus de luminosité et de tranquillité
•	Grand balcon exploitable
•	Belle pièce de vie proche de 30 m²
•	3 chambres – idéal famille ou télétravail
•	Plan fonctionnel sans perte d'espace
•	Résidence récente
Le compromis parfait entre espace, confort et extérieur — un bien très recherché sur le marché.
À visiter rapidement : coup de cœur assuré !",https://www.etreproprio.com/immobilier-25280722-vente-t4-de-81m-avec-balcon-de-9m-au-dernier-etage-r2-rillieux-la-pape
Vente Appartement 64 m² Brignais,Appartement 64 m² à Brignais,Brignais,Appartement,,270000,64.0,3,C,"Iad France - Carine Pignard vous propose : À Brignais, à proximité immédiate du centre-ville et de toutes les commodités accessibles à pied, découvrez ce superbe appartement 3 pièces très bien entretenu situé au calme, au fond de la copropriété, à l'écart de la route. Dès l'entrée, un placard intégré apporte un vrai confort au quotidien et mène vers une belle pièce de vie lumineuse avec son coin cuisine. Cet espace convivial s'ouvre directement sur un grand balcon sans vis-à-vis, idéal pour profiter d'un moment de détente en toute tranquillité. L'espace nuit, bien séparé, se compose d'un dégagement desservant deux chambres, dont une belle chambre avec dressing. Vous apprécierez également la grande salle de douche avec double vasque, le WC indépendant, ainsi qu'un spacieux placard faisant office de buanderie, particulièrement pratique. Un garage en sous-sol complète ce bien. Un appartement fonctionnel, lumineux et idéalement situé, offrant un cadre de vie agréable à Brignais, dans un environnement calme et recherché. Ne tardez pas ! Pour plus d'information contactez moi ! La presente annonce immobiliere vise 2 lots situés dans une copropriété de 209 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 129¤ par mois (soit 1548 ¤ annuel). Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 97 et classe CLIMAT C indice 20. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Carine Pignard mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de LYON sous le numéro 905279444, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.Informations LOI ALUR :  Soumis au régime de copropriété. Nombre de lots : 209.  Quote part annuelle(moyenne) : 1548 euros. Honoraires charge vendeur. (gedeon_6727_33067060)",https://www.etreproprio.com/immobilier-25279147-vente-appartement-64-m-a-brignais-brignais
Vente Maison 66 m² Communay,Maison 66 m² à Communay,Communay,Maison,3,315000,66.0,3,C,"69360 - COMMUNAY - MAISON - 3 PIÈCES - 2 CHAMBRES - 66.0M2 - MAISON AVEC GARAGE ET JARDIN

effiCity, l'agence qui estime votre bien en ligne, vous propose cette ravissante maison idéalement située sur la commune de Communay.

Cette maison de 66m2, en excellent état général, est répartie sur deux niveaux. Elle se compose de 3 pièces, au RDC vous trouverez une pièce de vie avec une entrée équipé d'un placard mural, une cuisine équipée et un salon ouvert sur la terrasse de 25m² et un toilette, à l'étage il y a  2 chambres lumineuses offrant un cadre de vie des plus agréables pour vous et votre famille.

La luminosité est l'un des atouts majeurs de ce bien, exposé plein Sud avec une vue dégagée sur les champs, vous pourrez profiter de la clarté naturelle tout au long de la journée. De plus, l'environnement calme garantit des nuits paisibles loin du tumulte de la ville.

Vous disposerez d'un garage de 22m2, idéale pour aménager une troisième chambres (suite parentale) selon les besoin de votre famille ou un atelier, un espace de stockage ou tout autre projet selon vos besoins.

La maison bénéficie d'un mode de chauffage par climatisation réversible et des radiateurs électriques, volets roulants motorisée, ballon thermodynamique.

Côté stationnement, une place intérieure et deux places extérieures sont à votre disposition pour garer facilement vos véhicules au quotidien.

Construite entre 1990 et 2006 en parpaing avec un toit en tuile à emboitement, cette maison est implantée sur un terrain de 150m2, offrant un jardin où il fera bon se détendre les jours ensoleillés.

Ne ratez pas cette opportunité unique d'acquérir une maison à Communay. Contactez-nous dès maintenant pour organiser une visite et laissez-vous charmer par le potentiel de ce bien d'exception.
 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
 Jean Paul Costa - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Lyon sous le n°450904602.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 75[Coordonnées masquées]02 025 - CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris",https://www.etreproprio.com/immobilier-25282293-vente-maison-66-m-a-communay-communay
Vente Appartement  Lyon-5e,Lyon 5 la plaine immeuble recent standing appartement type 3 62m2 2 chambres parking double,Vente Appartement  Lyon-5e,Appartement,,220000,62.0,2,C,"EXCLUSIVITÉ   Lyon 5 Dans le quartier de la Plaine, Appartement de type 3 de 62m2 utiles/57 m2 carrez dans une résidence de standing avec piscine au calme absolu. Dans une ancienne chapelle réhabilitée en 2016, où le charme de l’architecture d’origine a été préservé, venez découvrir ce superbe appartement de type 2/3, niché au cœur d’un environnement verdoyant et en retrait total de la rue. Il comprend actuellement une belle pièce de vie lumineuse de 25 m2, exposée Sud, avec cuisine ouverte, deux chambres en parquet, dont une avec placard intégré et l’autre de 14m2 donnant sur le patio intérieur, une salle d’eau avec douche à l’italienne, WC séparés. Il est possible de créer une plus grande pièce de vie de 34m2 en enlevant la cloison entre la chambre et le séjour actuel. Une terrasse privative (5m2) à l’entrée de l’appartement, parfaite pour profiter d’un espace extérieur supplémentaire complète le bien. Elle peut être fermée et intégrée à l'appartement (déjà réalisé dans l'immeuble). Le cadre de vie : • Résidence de standing avec piscine. • Immeuble au calme absolu, entouré de verdure, avec vue sur de beaux arbres. • Double parking en sus du prix affiché : un vrai confort dans le secteur. Un bien idéal pour : Primo-accédants, Investisseurs, Parents souhaitant loger leurs enfants, Colocation. Accessibilité Ecoles, Commerces, transports Bus 65, 45, C20, C20E ... pour GORGE DE LOUP Métro D en 10/15 min, .... secteur LA PLAINE - accès facile POINT DU JOUR 2 KM (30 min à pied ; 8 min à vélo); - GARE Alaï tram-train 1km - Auchan Tassin 1.5 KM - proche CLINIQUE CHARCOT - Club de TENNIS Tcm5 - WEST POINT Ecole bilingue - Carrefour Francheville - Aldi Charcot. Son prix est de 220.000€. * VISITE VIRTUELLE DISPONIBLE * Pour visiter et vous accompagner dans votre projet, contactez Christophe AVON, directeur d'agence au [Coordonnées masquées]. Agence Homicca www.homicca.fr",https://www.etreproprio.com/immobilier-25109849-vente-lyon-5-la-plaine-immeuble-recent-standing-appartement-type-3-62m2-2-chambres-parking-double-lyon-5e
Vente Appartement 48 m² Mornant,Appartement à vendre centre de MORNANT (69),Mornant,Appartement,,134900,48.0,1,D,"Situé au 2ᵉ et dernier étage d'un immeuble typique du centre de Mornant, cet appartement entièrement rénové séduit par son mélange unique de cachet ancien et de confort contemporain.

Les poutres apparentes, les parquets en bois et les boiseries d'époque apportent une âme et une chaleur incomparables, tandis que les aménagements récents offrent un confort moderne et une belle fonctionnalité au quotidien.

L'espace de vie de 40 m2, soigneusement agencé, crée une ambiance cocooning où authenticité et modernité se marient à la perfection. Chaque pièce invite à la détente, dans un esprit à la fois chaleureux et élégant.

Idéalement situé, à deux pas de la place du marché, des commerces, des écoles et de tous les services, cet appartement est un véritable coup de cœur pour les amoureux du charme de l'ancien revisité avec goût.
N'hésitez pas à me contacter je me ferai un plaisir de vous renseigner.

 Nombre de lots de la copropriété : 6, Montant moyen annuel de la quote-part de charges (budget prévisionnel) : 600€ soit 50€ par mois. Les honoraires sont à la charge du vendeur.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr.

Réseau Immobilier CAPIFRANCE - Votre agent commercial (RSAC N°897 766 192 - Greffe de LYON) Jean Christophe BICHAUD Entrepreneur Individuel [Coordonnées masquées] - Réf.950376",https://www.etreproprio.com/immobilier-25282016-vente-appartement-a-vendre-centre-de-mornant-69-mornant
Vente Appartement 75 m² Villeurbanne,"Appartement T3 de 75 m2 à Villeurbanne 69100, Cours Émile-Zola",Villeurbanne,Appartement,,249000,75.0,3,C,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19677

EXCLUSIVITÉ – Emplacement n°1 au pied du métro A République

Homki vous propose ce spacieux T3 de 75,26 m², situé au 2ᵉ étage avec ascenseur d'une résidence sécurisée des années 1960, idéalement placée au pied du métro République – Villeurbanne.

Un appartement lumineux, fonctionnel et à fort potentiel, parfait pour un projet de résidence principale ou d'investissement patrimonial.

Un appartement aux beaux volumes

Entrée desservant les espaces de vie

Séjour lumineux offrant un agréable espace de réception

Cuisine indépendante à aménager avec cellier attenant

Deux grandes chambres (13,85 m² et 13,74 m²)

Salle de bains

WC séparés

Grâce à sa configuration, possibilité simple de transformation en T4 après réaménagement.

Les atouts qui font la différence

Double vitrage récent
Excellent DPE C / C (confort thermique & économies)
Cave en sous-sol
Garage fermé en supplément
Résidence sécurisée avec ascenseur
Chauffage collectif

Localisation premium – Villeurbanne République

Métro A au pied de l'immeuble

Accès rapide :

Charpennes

Gare Part-Dieu

Centre-ville de Lyon

Commerces, restaurants, écoles et marché accessibles immédiatement à pied : un cadre de vie urbain pratique et recherché.

Idéal pour :

Résidence principale familiale

Investissement locatif sécurisé

Projet de valorisation (T4 possible)

À découvrir sans tarder — bien rare sur le secteur République !

Qui est le Homker proche de chez vous ?

Je suis Andry Ravoniharoson, agent commercial immatriculé au RSAC de Bourg-en-Bresse sous le numéro 910 352 160, et je serais ravi de vous le faire découvrir !

Qui est Homki ?

Homki offre aux acquéreurs et vendeurs un service complet et transparent afin que chaque projet immobilier soit une expérience innovante vécue sereinement.

Nos frais d'agence sont de 6 900 € fixes à la charge du vendeur.

Informations financières :

La taxe foncière est de 1280€

Les charges sont de 191€

Estimation des coûts annuels d'énergie du logement :

Montant minimum : 1110.0€
Montant maximum : 1540.0€",https://www.etreproprio.com/immobilier-25280858-vente-appartement-t3-de-75-m2-a-villeurbanne-69100-cours-emile-zola-villeurbanne
Vente Appartement 20 m² Lyon-8e,Appartement 20 m² à Lyon-8e,Lyon-8e,Appartement,,76000,20.0,1,C,"Studio meublé et équipée résidence LYON Lumière à LYON 8ème, quartier Monplaisir et Monchat. Situé entre les 2 grandes artères Lyonnaises, avenue Jean Mermoz et le boulevard Jean XXIII, à proximité immédiate de la Faculté de Médecine, de l'école d'infirmière et de l'université LYON III Jean Moulin (26 100 étudiants). Proche station métro Grange Blanche, ligne D, et du Tramway T2 arrêt Jean XXIII Maryse Bastié, permettant la liaison en quelques minutes avec la presqu'île ou les différentes gares de la ville (Part-Dieu/Perrache). Le loyer de 3801 HT/an est garanti par PRIVILODGES.",https://www.etreproprio.com/immobilier-25279474-vente-appartement-20-m-a-lyon-8e-lyon-8e
Vente Appartement 19 m² Lyon-5e,Studio rénové au coeur du Vieux-Lyon - Idéal étudiant !,Lyon-5e,Appartement,2,127000,19.0,2,C,"Au coeur du Vieux-Lyon dans un bel immeuble Renaissance, ce joli studio de 19,20m2 a été entièrement rénové et isolé ! Il est idéal pour un étudiant qui souhaite être au calme tout en étant au coeur de la ville.
Situé au 2e étage de l'immeuble, il se compose d'une jolie pièce de vie avec cuisine donnant sur la rue de la Fronde. Il comprend également un espace sur cour avec un grand placard de rangement, un espace mezzanine pouvant accueillir un matelas pour le coin nuit et une très jolie salle d'eau + WC séparés. Belle hauteur sous-plafonds et charme de l'ancien.
Visite virtuelle disponible à la demande.
Référence agence : 569",https://www.etreproprio.com/immobilier-25281255-vente-studio-renove-au-coeur-du-vieux-lyon-ideal-etudiant-lyon-5e
Vente Appartement 26 m² Villeurbanne,Appartement,Villeurbanne,Appartement,1,140000,26.0,1,E,"69100 - VILLEURBANNE - CHARPENNES - RUE MILLON - 1 PIÈCE - 1 CHAMBRE - BALCON - APPARTEMENT CHARMANT -

EffiCity, l'agence qui estime votre bien en ligne, et Julie Amar en partenariat avec ZEFIR vous proposent de découvrir cet appartement situé à Villeurbanne, dans le quartier emblématique des CHARPENNES.

Situé au 1er étage d'un immeuble érigé en 1957 , cet appartement d'une pièce avec une chambre séparée saura vous séduire par son charme et son agencement optimal. La surface totale de 26.05m² offre un cadre de vie confortable et fonctionnel. Il est composé d'une entrée plongeante dans l'espace de vie, et d'une chambre attenante au salon . La cuisine équipée est séparée, et possède une petite buanderie.

L'appartement est vendu loué. Le bail court jusqu'en Novembre 2026.

Vous pourrez profiter d'un balcon en enfilade de 2 m², idéal pour prendre un café en extérieur et respirer l'air frais. Le gros plus est que cet extérieur est sans passage de voisins, grace à sa position en bout de coursive.
L'orientation de l'appartement apporte une luminosité naturelle, créant une atmosphère chaleureuse et conviviale.

Idéalement situé à proximité des commerces, des écoles et des transports en commun, cet appartement offre un cadre de vie pratique et dynamique pour son futur occupant.

Une cave de 10m2 en sous- sol complète ce bien.

Ne manquez pas cette opportunité de visiter ce charmant appartement aux Charpennes ! Pour plus d'informations ou pour organiser une visite, contactez-nous dès maintenant au [Coordonnées masquées] ou par mail à [Coordonnées masquées].

A visiter sans tarder !
 Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
 Julie Amar - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Lyon sous le n°512970807.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 75[Coordonnées masquées]02 025 - CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris",https://www.etreproprio.com/immobilier-24937823-vente-appartement-villeurbanne
Vente Appartement 19 m² Lyon-7e,Appartement 19 m² à Lyon-7e,Lyon-7e,Appartement,3,96000,19.0,1,C,"Studio meublé et équipé au 3ème étage d'une résidence étudiante très bien située : école de Condé (école d'art) à 450m, ISCOM 550m, ISEFAC 360m, l'Université Jean Moulin LYON 3 à 690m. Le tout optimisé par une excellente desserte avec la station de Tram Garibaldi Berthelot à 700m, l'arrêt de bus Place Stalingrad à 150m - Domer Garibaldi à 170m de la résidence. Environnement dynamique et culturel immédiat avec accès Place Bellecour en 10mn, bibliothèque Jean Macé à 10mn. Parc Blandan à 550m.
Le loyer de 4982 HT/an est sécurisé par BNP Paribas.",https://www.etreproprio.com/immobilier-25279466-vente-appartement-19-m-a-lyon-7e-lyon-7e
Vente Appartement 102 m² Lyon-7e,Appartement Lyon 5 pièces102 m2,Lyon-7e,Appartement,3,429000,102.0,5,D,"Dans un secteur recherché du 7e arrondissement rue claude Veyron, découvrez cet appartement de 102 m², situé au 3eme étage, offrant de beaux volumes et une belle luminosité.  Dès l'entrée, vous apprécierez les nombreux rangements.  Le bien s'ouvre ensuite sur un vaste séjour lumineux, prolongé par grandun balcon , idéal pour profiter d'un extérieur agréable.  La partie nuit se compose de :  3 chambres une salle d'eau un WC séparé  Une cuisine indépendante avec loggia complète l'ensemble.  Possibilité de créer une 4eme chambre selon vos besoins (ancien T5) Les + qui font la différence  balcon  garage + cave appartement lumineux beau potentiel   A prévoir travaux de rafraîchissement   Charges : 3 600  euros/an (chauffage + eau inclus)  Les honoraires sont à la charge du vendeur/  Copropriété de 60 lots.  Charges annuelles : 3680  euros.",https://www.etreproprio.com/immobilier-25277343-vente-appartement-lyon-5-pieces102-m2-lyon-7e
Vente Appartement 92 m² Craponne,Appartement T4 de 92 m² avec terrasse de 10 m² à Craponne,Craponne,Appartement,2,509900,92.0,4,B,"Appartement T4 avec terrasse à Craponne

Situé au deuxième étage d'une résidence à l'architecture élégante, cet appartement de type 4 de 92.30 m² séduit par ses volumes généreux et son esprit contemporain.
Son vaste espace de vie de plus de 35 m² s'ouvre sur une terrasse véritable prolongement extérieur offrant une vue dégagée et une luminosité rare.

L'appartement comprend :

Trois chambres confortables,

Une salle de bains et une salle d'eau et un WC indépendant,

Une entrée accueillante et un dégagement fonctionnel,

Un espace de vie baigné de lumière grâce à de larges ouvertures et à une orientation idéale.

Un box fermé en sous-sol

Prestations de qualité : pompe à chaleur air/eau, ballon électrique, radiateurs modernes, finitions soignées.
La résidence, allie calme résidentiel et proximité du centre-ville, des commerces et des transports.

Un bien rare, idéal pour une famille ou pour ceux qui recherchent un cadre de vie spacieux et raffiné, entre ville et nature.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr",https://www.etreproprio.com/immobilier-25280727-vente-appartement-t4-de-92-m-avec-terrasse-de-10-m-a-craponne-craponne
Vente Appartement 90 m² Villeurbanne,Appartement 90 m² à Villeurbanne,Villeurbanne,Appartement,7,300000,90.0,5,D,"EXCLUSIVITÉ RÉGIE MOUTON !

La Régie Mouton vous propose de découvrir dans le quartier du Tonkin, cet appartement avec parking situé 1 rue Phélypeaux, 69100 VILLEURBANNE.
Cet appartement de TYPE 5 de 90 m², situé au 7ème étage de la copropriété avec ascenseur, il se compose :
- une entrée,
- un séjour,
- un salon,
- une cuisine indépendante,
- trois chambres,
- une salle de bain,
- WC indépendant,
- deux balcons.

Annexes :
- Une cave en sous-sol, idéale pour le stockage
- Une place de parking privative en sous-sol

État du bien et de la copropriété :
- DPE D
- Fenêtres pvc double vitrage.
- Résidence sécurisée.
- Pas de travaux à l'étude sur la copropriété.

Informations financières :
- Taxe foncière : 1 510  / an
- Charges de copropriété : 1033  / trimestre
(incluant, chauffage, eau chaude, eau froide, ascenseur, entretien des espaces verts, charges communes, relève cpt eau, gardien)

À proximité immédiate des commerces, transports (tram, TCL), tram T1 et T4, métro A, parc de la Tête d'Or, La Doua.

Ce bien vous est proposé au prix de 300 000 
Honoraires à la charge du vendeur.

Pour toutes questions ou demande de visites merci de contacter Hugo FRACHET au [Coordonnées masquées]

Vous souhaitez vendre votre bien immobilier : maison, villa, appartement, terrain. Contactez nous sans plus attendre pour une estimation GRATUITE et SANS ENGAGEMENT dans les secteurs suivants : LYON, Caluire et Cuire, Villeurbanne, Vénissieux, Beynost, Saint Maurice de Beynost, Miribel, Saint Priest, Bron, Grigny, Givors, Vienne.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr » (C. envir., art. R. 125-25, I)

Honoraires à la charge du vendeur.  Dans une copropriété de 202 lots. Aucune procédure n'est en cours. Classe énergie D, Classe climat D Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1485.00 et 2010.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",https://www.etreproprio.com/immobilier-25279564-vente-appartement-90-m-a-villeurbanne-villeurbanne
